student_code,login_frequency,avg_assignment_score,assignment_submission_rate,avg_quiz_score,days_since_last_login,course_completion_rate,at_risk
SYN0001,2,70.12,0.317,75.92,4,0.748,1
SYN0002,23,90.93,0.89,61.21,10,0.072,0
SYN0003,20,50.2,0.594,65.01,1,0.592,0
SYN0004,13,61.32,0.126,33.47,2,0.756,0
SYN0005,13,76.66,0.144,59.54,3,0.359,0
SYN0006,26,71.52,0.693,100.0,3,0.011,0
SYN0007,2,59.36,0.173,76.48,1,0.595,1
SYN0008,21,62.99,0.507,63.39,4,0.991,0
SYN0009,6,44.38,0.992,51.22,6,0.258,1
SYN0010,2,61.43,0.004,52.11,1,0.189,1
SYN0011,16,61.0,0.017,17.42,10,0.124,1
SYN0012,30,68.48,0.993,65.15,8,0.555,0
SYN0013,22,56.67,0.585,76.91,8,0.596,0
SYN0014,23,72.07,0.127,28.49,6,0.792,0
SYN0015,22,80.19,0.897,46.77,5,0.753,0
SYN0016,24,67.33,0.88,36.85,3,0.893,0
SYN0017,15,70.28,0.536,40.69,5,0.806,0
SYN0018,3,65.8,0.622,61.07,9,0.247,0
SYN0019,26,65.0,0.273,18.31,2,0.556,0
SYN0020,13,54.18,0.051,72.29,0,0.297,0
SYN0021,15,69.75,0.595,75.08,15,0.33,1
SYN0022,11,63.54,0.295,54.98,12,0.932,0
SYN0023,5,96.4,0.664,10.39,2,0.682,0
SYN0024,28,88.6,0.836,40.07,2,0.975,0
SYN0025,24,70.79,0.018,84.66,7,0.417,0
SYN0026,19,53.55,0.596,4.44,2,0.537,0
SYN0027,12,48.31,0.231,53.05,3,0.487,1
SYN0028,25,82.87,0.874,36.4,3,0.107,0
SYN0029,16,68.94,0.254,76.09,1,0.237,0
SYN0030,13,72.2,0.611,46.5,4,0.528,0
SYN0031,13,38.83,0.554,68.08,1,0.067,0
SYN0032,7,78.91,0.396,71.31,2,0.931,0
SYN0033,2,71.82,0.678,96.72,1,0.124,0
SYN0034,17,48.34,0.726,55.94,0,0.198,0
SYN0035,27,57.93,0.567,67.52,10,0.765,0
SYN0036,1,68.96,0.758,30.3,2,0.097,1
SYN0037,26,65.79,0.983,83.81,1,0.9,0
SYN0038,25,60.62,0.419,44.79,33,0.726,0
SYN0039,8,63.45,0.515,48.78,4,0.069,1
SYN0040,19,61.22,0.012,59.56,0,0.692,0
SYN0041,5,67.29,0.796,28.74,2,0.632,1
SYN0042,23,87.07,0.52,64.58,2,0.757,0
SYN0043,21,26.5,0.408,79.35,3,0.828,0
SYN0044,10,61.45,0.094,65.86,1,0.718,1
SYN0045,2,67.65,0.89,28.22,0,0.586,1
SYN0046,30,69.44,0.395,57.52,0,0.322,0
SYN0047,13,59.42,0.683,74.84,6,0.697,0
SYN0048,27,38.65,0.149,22.44,0,0.957,0
SYN0049,21,69.92,0.962,38.5,7,0.588,0
SYN0050,24,90.91,0.178,77.53,0,0.664,0
SYN0051,23,41.99,0.2,65.4,7,0.437,0
SYN0052,6,77.96,0.859,68.24,6,0.756,0
SYN0053,11,60.07,0.913,97.19,5,0.998,0
SYN0054,14,64.08,0.212,69.37,0,0.16,1
SYN0055,15,49.21,0.47,73.16,2,0.202,0
SYN0056,1,59.98,0.733,100.0,5,0.539,0
SYN0057,16,84.5,0.878,55.72,0,0.481,0
SYN0058,4,73.74,0.379,44.04,1,0.572,1
SYN0059,23,90.98,0.517,68.56,2,0.049,0
SYN0060,21,82.66,0.742,68.78,10,0.404,0
SYN0061,28,71.59,0.731,49.47,1,0.583,0
SYN0062,23,91.16,0.783,39.35,1,0.585,0
SYN0063,11,71.58,0.57,100.0,17,0.657,0
SYN0064,29,77.42,0.105,66.54,2,0.72,0
SYN0065,12,60.55,0.904,45.35,2,0.642,0
SYN0066,10,66.0,0.866,78.32,7,0.79,0
SYN0067,28,54.54,0.798,57.82,6,0.625,0
SYN0068,11,79.84,0.1,54.94,2,0.538,0
SYN0069,2,47.33,0.204,71.25,4,0.606,1
SYN0070,14,76.74,0.744,34.16,2,0.101,0
SYN0071,24,62.14,0.023,67.05,5,0.273,0
SYN0072,5,82.57,0.979,98.26,0,0.527,0
SYN0073,14,76.26,0.377,69.32,0,0.873,0
SYN0074,4,92.31,0.719,52.48,2,0.679,1
SYN0075,21,75.96,0.888,49.86,0,0.09,0
SYN0076,14,41.42,0.395,51.79,1,0.592,0
SYN0077,10,64.0,0.319,54.92,3,0.222,1
SYN0078,7,47.42,0.609,52.44,2,0.734,0
SYN0079,17,57.23,0.581,78.33,0,0.827,0
SYN0080,20,87.67,0.409,25.34,31,0.593,0
SYN0081,29,74.56,0.602,77.24,9,0.591,0
SYN0082,13,54.52,0.935,52.41,1,0.339,0
SYN0083,4,49.79,0.468,67.54,9,0.446,1
SYN0084,25,65.49,0.197,37.46,12,0.864,0
SYN0085,19,46.75,0.377,86.57,6,0.723,0
SYN0086,21,54.93,0.394,84.91,0,0.52,0
SYN0087,3,69.68,0.131,79.19,4,0.368,1
SYN0088,9,82.33,0.163,29.7,3,0.05,1
SYN0089,23,74.13,0.685,76.58,3,0.143,0
SYN0090,25,30.63,0.339,68.1,0,0.193,0
SYN0091,13,69.57,0.955,27.89,6,0.373,0
SYN0092,24,66.08,0.244,59.51,10,0.944,0
SYN0093,26,71.21,0.099,67.29,0,0.505,0
SYN0094,12,89.24,0.754,71.12,1,0.235,0
SYN0095,27,34.05,0.881,63.55,0,0.106,0
SYN0096,8,56.13,0.278,65.82,8,0.338,1
SYN0097,7,73.86,0.202,89.47,24,0.816,1
SYN0098,21,41.28,0.186,84.52,0,0.383,1
SYN0099,19,87.14,0.522,2.66,11,0.773,1
SYN0100,4,70.53,0.468,53.65,2,0.803,1
SYN0101,25,77.7,0.259,56.71,14,0.111,0
SYN0102,6,56.44,0.045,24.96,18,0.609,1
SYN0103,24,77.21,0.481,61.88,8,0.959,0
SYN0104,0,81.03,0.959,84.98,0,0.402,1
SYN0105,24,68.49,0.653,38.27,3,0.051,0
SYN0106,24,68.52,0.496,66.73,0,0.923,0
SYN0107,24,69.06,0.111,41.68,23,0.884,1
SYN0108,20,52.05,0.252,46.56,3,0.522,0
SYN0109,14,62.79,0.295,89.55,1,0.552,0
SYN0110,21,62.71,0.765,49.15,1,0.212,0
SYN0111,8,70.75,0.877,69.24,16,0.819,0
SYN0112,24,80.0,0.902,22.58,0,0.499,0
SYN0113,17,49.12,0.985,97.25,6,0.034,0
SYN0114,14,63.12,0.982,72.05,11,0.683,0
SYN0115,15,87.22,0.953,56.35,2,0.95,0
SYN0116,17,53.85,0.072,71.51,5,0.829,0
SYN0117,1,52.67,0.138,31.8,4,0.277,1
SYN0118,4,68.03,0.304,83.65,3,0.053,0
SYN0119,7,77.67,0.553,53.52,2,0.94,0
SYN0120,3,65.17,0.097,55.92,0,0.937,1
SYN0121,13,84.93,0.846,50.17,1,0.532,0
SYN0122,20,77.85,0.617,48.39,0,0.642,0
SYN0123,20,77.63,0.542,73.89,3,0.463,0
SYN0124,14,73.31,0.165,65.12,7,0.42,1
SYN0125,26,99.91,0.253,73.03,1,0.119,0
SYN0126,17,61.92,0.16,59.82,1,0.097,1
SYN0127,2,34.95,0.852,70.26,1,0.233,1
SYN0128,23,89.06,0.584,51.62,7,0.837,0
SYN0129,17,58.13,0.735,100.0,9,0.146,0
SYN0130,19,66.62,0.296,28.64,0,0.227,0
SYN0131,17,84.64,0.371,85.22,11,0.549,0
SYN0132,17,40.97,0.405,87.36,7,0.215,0
SYN0133,2,46.23,0.76,42.96,0,0.163,1
SYN0134,17,40.98,0.772,100.0,5,0.563,0
SYN0135,24,53.09,0.207,79.91,4,0.368,0
SYN0136,9,71.59,0.942,79.42,3,0.626,0
SYN0137,18,72.86,0.121,60.56,0,0.912,1
SYN0138,0,69.14,0.896,55.66,5,0.151,1
SYN0139,10,43.81,0.1,55.81,3,0.913,1
SYN0140,13,30.35,0.265,67.81,1,0.902,0
SYN0141,30,65.82,0.846,88.02,2,0.829,0
SYN0142,6,57.92,0.179,63.63,7,0.631,1
SYN0143,8,71.89,0.414,41.77,0,0.62,0
SYN0144,12,75.53,0.45,76.49,2,0.639,0
SYN0145,30,67.07,0.245,78.42,9,0.69,0
SYN0146,26,76.4,0.71,73.09,2,0.016,0
SYN0147,1,68.44,0.851,74.91,9,0.958,1
SYN0148,7,72.95,0.875,54.58,0,0.586,0
SYN0149,25,54.43,0.339,41.42,7,0.781,0
SYN0150,1,62.31,0.531,42.64,13,0.377,1
SYN0151,26,67.95,0.248,27.29,0,0.012,1
SYN0152,8,77.31,0.245,64.74,8,0.51,1
SYN0153,28,59.09,0.161,58.33,1,0.507,0
SYN0154,9,72.82,0.94,51.2,0,0.437,0
SYN0155,13,61.01,0.888,0.89,0,0.34,1
SYN0156,20,63.24,0.777,35.05,2,0.25,0
SYN0157,3,77.44,0.518,82.42,0,0.528,0
SYN0158,17,35.1,0.491,46.71,1,0.375,1
SYN0159,15,45.55,0.53,67.21,2,0.97,0
SYN0160,24,42.77,0.537,32.19,2,0.173,1
SYN0161,30,30.0,0.435,88.77,1,0.32,0
SYN0162,20,54.83,0.132,57.12,1,0.294,0
SYN0163,12,76.24,0.126,65.8,1,0.543,0
SYN0164,12,60.73,0.952,100.0,1,0.499,0
SYN0165,12,67.97,0.482,90.33,5,0.644,0
SYN0166,25,81.34,0.953,53.87,2,0.95,0
SYN0167,9,84.92,0.164,48.14,6,0.285,1
SYN0168,5,63.96,0.554,53.49,1,0.693,1
SYN0169,10,85.3,0.208,70.2,0,0.025,0
SYN0170,0,66.38,0.253,57.9,3,0.262,1
SYN0171,3,52.44,0.03,52.1,6,0.464,1
SYN0172,2,56.08,0.119,89.34,0,0.031,1
SYN0173,23,42.79,0.917,57.72,5,0.618,0
SYN0174,22,51.68,0.322,100.0,0,0.678,0
SYN0175,21,59.63,0.608,61.81,1,0.747,0
SYN0176,14,77.05,0.465,95.71,4,0.517,0
SYN0177,22,90.81,0.4,67.15,0,0.604,0
SYN0178,4,44.27,0.532,79.26,4,0.396,0
SYN0179,27,70.89,0.187,45.51,3,0.041,0
SYN0180,15,49.39,0.989,42.92,5,0.1,0
SYN0181,29,72.12,0.818,69.19,0,0.655,0
SYN0182,4,63.03,0.742,79.77,1,0.996,0
SYN0183,15,37.54,0.469,60.81,8,0.016,1
SYN0184,21,78.92,0.153,34.27,0,0.558,0
SYN0185,15,55.92,0.921,32.79,8,0.751,0
SYN0186,13,56.99,0.341,31.46,6,0.827,0
SYN0187,5,48.95,0.05,24.65,0,0.545,1
SYN0188,11,55.19,0.342,62.19,0,0.62,0
SYN0189,7,71.42,0.794,82.5,7,0.697,0
SYN0190,9,62.16,0.623,59.73,3,0.859,0
SYN0191,21,69.93,0.751,14.79,2,0.122,0
SYN0192,19,70.43,0.794,56.18,1,0.926,0
SYN0193,18,84.81,0.212,56.74,2,0.026,0
SYN0194,11,59.86,0.924,100.0,2,0.836,0
SYN0195,29,42.85,0.438,30.86,2,0.077,0
SYN0196,2,81.01,0.639,52.19,8,0.195,1
SYN0197,10,60.03,0.002,94.12,0,0.004,1
SYN0198,3,81.72,0.993,69.0,10,0.445,1
SYN0199,10,70.75,0.281,71.27,1,0.334,0
SYN0200,29,63.03,0.062,62.29,1,0.166,0
SYN0201,11,70.23,0.458,66.6,5,0.451,0
SYN0202,28,94.27,0.129,75.55,9,0.402,0
SYN0203,15,96.15,0.152,43.81,4,0.768,0
SYN0204,21,66.04,0.632,77.56,1,0.893,0
SYN0205,14,67.4,0.393,32.54,0,0.653,0
SYN0206,8,81.14,0.922,66.57,2,0.124,0
SYN0207,23,52.32,0.319,63.57,0,0.295,0
SYN0208,30,70.0,0.726,47.67,9,0.913,0
SYN0209,8,64.61,0.461,59.55,1,0.089,0
SYN0210,24,69.71,0.66,47.55,6,0.407,0
SYN0211,8,52.5,0.6,38.57,8,0.943,1
SYN0212,22,41.16,0.473,52.93,4,0.951,0
SYN0213,24,33.91,0.95,37.92,6,0.411,0
SYN0214,13,48.24,0.343,66.46,4,0.667,0
SYN0215,22,58.12,0.177,37.0,2,0.457,0
SYN0216,8,60.6,0.678,74.24,6,0.753,0
SYN0217,2,94.06,0.846,36.37,5,0.032,1
SYN0218,2,81.59,0.04,48.67,0,0.144,1
SYN0219,13,50.57,0.45,47.51,7,0.614,1
SYN0220,27,70.22,0.892,86.5,2,0.233,0
SYN0221,3,58.89,0.75,66.61,13,0.666,1
SYN0222,14,60.73,0.992,55.77,9,0.351,0
SYN0223,21,67.78,0.531,69.97,3,0.887,0
SYN0224,6,74.29,0.66,17.86,4,0.819,1
SYN0225,22,59.91,0.302,59.14,0,0.493,0
SYN0226,9,80.96,0.948,99.95,3,0.773,0
SYN0227,25,47.87,0.366,62.65,2,0.271,0
SYN0228,17,65.1,0.739,61.36,2,0.494,0
SYN0229,16,100.0,0.403,70.96,3,0.197,0
SYN0230,5,68.35,0.562,77.91,20,0.861,0
SYN0231,14,86.5,0.72,20.05,0,0.823,0
SYN0232,26,66.37,0.509,26.35,0,0.902,0
SYN0233,0,73.71,0.907,64.21,3,0.877,0
SYN0234,23,64.15,0.419,45.7,2,0.96,0
SYN0235,15,62.44,0.647,86.24,5,0.228,0
SYN0236,22,53.31,0.342,53.7,1,0.932,0
SYN0237,20,71.45,0.408,21.31,9,0.571,1
SYN0238,13,52.23,0.44,34.64,8,0.422,1
SYN0239,9,74.98,0.126,5.01,1,0.56,1
SYN0240,19,81.28,0.092,55.32,0,0.343,0
SYN0241,4,70.5,0.667,56.23,5,0.289,1
SYN0242,18,60.71,0.656,51.51,0,0.241,0
SYN0243,2,71.81,0.663,81.58,1,0.082,1
SYN0244,20,60.37,0.02,83.97,10,0.497,0
SYN0245,19,79.03,0.327,56.59,0,0.888,0
SYN0246,2,37.53,0.198,17.31,4,0.63,1
SYN0247,23,59.97,0.778,72.35,3,0.521,0
SYN0248,12,35.14,0.861,71.11,16,0.429,1
SYN0249,24,42.57,0.247,66.19,2,0.464,0
SYN0250,1,85.46,0.668,79.63,8,0.209,1
SYN0251,5,78.43,0.129,36.7,11,0.823,1
